PUBUKPRN,KISCOURSEID,KISMODE
10003956,KUZBACHYPSY4FF,1
10003956,KUZBACHYPSYF,1
10003956,KUZBACHYSOC4FF,1
10003956,KUZBACHYSOCF,1
10003956,KUZBACOBCRM4FF,1
10003956,KUZBACOBCRMF,1
10003956,KUZBACOBMAC4FF,1
10003956,KUZBACOBMACF,1
10003956,KUZBACOBPLI4FF,1
10003956,KUZBACOBPLIF,1
10003956,KUZBACOBSCR4FF,1
10003956,KUZBACOBSCRF,1
10003956,KUZBACOBSEN4FF,1
10003956,KUZBACOBSENF,1
10003956,KUZBACONEON4FF,1
10003956,KUZBACONEONF,1
10003956,KUZBACONFVC4FF,1
10003956,KUZBACONFVCF,1
10003956,KUZBACONINR4FF,1
10003956,KUZBACONINRF,1
10003956,KUZBACONLAW4FF,1
10003956,KUZBACONLAWF,1
10003956,KUZBACONMAC4FF,1
10003956,KUZBACONMACF,1
10003956,KUZBACONPLI4FF,1
10003956,KUZBACONPLIF,1
10003956,KUZBACONPSY4FF,1
10003956,KUZBACONPSYF,1
10003956,KUZBACONSCR4FF,1
10003956,KUZBACONSCRF,1
10003956,KUZBACONSOC4FF,1
10003956,KUZBACONSOCF,1
10003956,KUZBACRM4FF,1
10003956,KUZBACRMASCR4FF,1
10003956,KUZBACRMASCRF,1
10003956,KUZBACRMDMA4FF,1
10003956,KUZBACRMDMAF,1
10003956,KUZBACRMEAC4FF,1
10003956,KUZBACRMEACF,1
10003956,KUZBACRMEDA4FF,1
10003956,KUZBACRMEDAF,1
10003956,KUZBACRMENL4FF,1
10003956,KUZBACRMENLF,1
10003956,KUZBACRMEON4FF,1
10003956,KUZBACRMEONF,1
10003956,KUZBACRMFVC4FF,1
10003956,KUZBACRMFVCF,1
10003956,KUZBACRMHUB4FF,1
10003956,KUZBACRMHUBF,1
10003956,KUZBACRMINF4FF,1
10003956,KUZBACRMINFF,1
10003956,KUZBACRMINR4FF,1
10003956,KUZBACRMINRF,1
10003956,KUZBACRMLAW4FF,1
10003956,KUZBACRMLAWF,1
10003956,KUZBACRMMAC4FF,1
10003956,KUZBACRMMACF,1
10003956,KUZBACRMMAT4FF,1
10003956,KUZBACRMMATF,1
10003956,KUZBACRMMST4FF,1
10003956,KUZBACRMMSTF,1
10003956,KUZBACRMMUS4FF,1
10003956,KUZBACRMMUSF,1
10003956,KUZBACRMNUT4FF,1
10003956,KUZBACRMNUTF,1
10003956,KUZBACRMPHE4FF,1
10003956,KUZBACRMPHEF,1
10003956,KUZBACRMPLI4FF,1
10003956,KUZBACRMPLIF,1
10003956,KUZBACRMPSY4FF,1
10003956,KUZBACRMPSYF,1
10003956,KUZBACRMSOC4FF,1
10003956,KUZBACRMSOCF,1
10003956,KUZBACRMSOP4FF,1
10003956,KUZBACRMSOPF,1
10003956,KUZBACRMSPH4FF,1
10003956,KUZBACRMSPHF,1
10003956,KUZBACRMTHO4FF,1
10003956,KUZBACRMTHOF,1
10003956,KUZBACRWCRM4FF,1
10003956,KUZBACRWCRMF,1
10003956,KUZBACRWMAC4FF,1
10003956,KUZBACRWMACF,1
10003956,KUZBACRWPLI4FF,1
10003956,KUZBACRWPLIF,1
10003956,KUZBACRWPSY4FF,1
10003956,KUZBACRWPSYF,1
10003956,KUZBACRWSCR4FF,1
10003956,KUZBACRWSCRF,1
10003956,KUZBACRWSEN4FF,1
10003956,KUZBACRWSENF,1
10003956,KUZBACSCCRM4FF,1
10003956,KUZBACSCCRMF,1
10003956,KUZBACSCMAC4FF,1
10003956,KUZBACSCMACF,1
10003956,KUZBACSCPLI4FF,1
10003956,KUZBACSCPLIF,1
10003956,KUZBACSCSCR4FF,1
10003956,KUZBACSCSCRF,1
10003956,KUZBACSCSEN4FF,1
10003956,KUZBACSCSENF,1
10003956,KUZBADANEON4FF,1
10003956,KUZBADANEONF,1
10003956,KUZBADANFVC4FF,1
10003956,KUZBADANFVCF,1
10003956,KUZBADANINR4FF,1
10003956,KUZBADANINRF,1
10003956,KUZBADANLAW4FF,1
10003956,KUZBADANLAWF,1
10003956,KUZBADANMAC4FF,1
10003956,KUZBADANMACF,1
10003956,KUZBADANPLI4FF,1
10003956,KUZBADANPLIF,1
10003956,KUZBADANPSY4FF,1
10003956,KUZBADANPSYF,1
10003956,KUZBADANSCR4FF,1
10003956,KUZBADANSCRF,1
10003956,KUZBADANSOC4FF,1
10003956,KUZBADANSOCF,1
10003956,KUZBADICAEON4FF,1
10003956,KUZBADICAEONF,1
10003956,KUZBADICAFVC4FF,1
10003956,KUZBADICAFVCF,1
10003956,KUZBADICAINR4FF,1
10003956,KUZBADICAINRF,1
10003956,KUZBADICALAW4FF,1
10003956,KUZBADICALAWF,1
10003956,KUZBADICASEN4FF,1
10003956,KUZBADICASENF,1
10003956,KUZBADICASOC4FF,1
10003956,KUZBADICASOCF,1
10003956,KUZBADMAEON4FF,1
10003956,KUZBADMAEONF,1
10003956,KUZBADMAFVC4FF,1
10003956,KUZBADMAFVCF,1
10003956,KUZBADMAINR4FF,1
10003956,KUZBADMAINRF,1
10003956,KUZBADMALAW4FF,1
10003956,KUZBADMALAWF,1
10003956,KUZBADMASEN4FF,1
10003956,KUZBADMASENF,1
10003956,KUZBADMASOC4FF,1
10003956,KUZBADMASOCF,1
10003956,KUZBAEACASCR4FF,1
10003956,KUZBAEACASCRF,1
10003956,KUZBAEACMAC4FF,1
10003956,KUZBAEACMACF,1
10003956,KUZBAEACPLI4FF,1
10003956,KUZBAEACPLIF,1
10003956,KUZBAEACPSY4FF,1
10003956,KUZBAEACPSYF,1
10003956,KUZBAEACSEN4FF,1
10003956,KUZBAEACSENF,1
10003956,KUZBAEDAFVC4FF,1
10003956,KUZBAEDAFVCF,1
10003956,KUZBAEDAINR4FF,1
10003956,KUZBAEDAINRF,1
10003956,KUZBAEDALAW4FF,1
10003956,KUZBAEDALAWF,1
10003956,KUZBAEDAPSY4FF,1
10003956,KUZBAEDAPSYF,1
10003956,KUZBAEDASEN4FF,1
10003956,KUZBAEDASENF,1
10003956,KUZBAEDASOC4FF,1
10003956,KUZBAEDASOCF,1
10003956,KUZBAELIASCR4FF,1
10003956,KUZBAELIASCRF,1
10003956,KUZBAELIFVC4FF,1
10003956,KUZBAELIFVCF,1
10003956,KUZBAELIINR4FF,1
10003956,KUZBAELIINRF,1
10003956,KUZBAELILAW4FF,1
10003956,KUZBAELILAWF,1
10003956,KUZBAELIMAC4FF,1
10003956,KUZBAELIMACF,1
10003956,KUZBAELIPLI4FF,1
10003956,KUZBAELIPLIF,1
10003956,KUZBAELIPSY4FF,1
10003956,KUZBAELIPSYF,1
10003956,KUZBAELISOC4FF,1
10003956,KUZBAELISOCF,1
10003956,KUZBAENLASCR4FF,1
10003956,KUZBAENLASCRF,1
